UACE Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
00766,32.98564444109666,36.494019660573905,40.349821978006574,30.37799048093032,32.17375340228156,32.6199095181253,36.735400900024366,38.52199495755298,38.1985494997247,47.56160044895347,37.295848585354896,51.64607917259429,44.163736842105266,49.207789404977476,45.38198705991152,45.30812148441956,46.089854014214175,49.57247534416352,44.95071369629721,44.96075673530594,45.34667755943233,47.61288532293098,48.4291044576658,49.88293870008291,53.260235491434955,46.575226024411904,46.63005098470459,48.914172921960606
00901,36.472670330940694,37.52687369991385,39.564561694619776,36.36921009532608,36.55760088156583,39.67523447827273,31.35317930593282,23.510253291956722,25.225567770942288,25.899036144578314,29.369210950755118,27.680542323195308,35.02438564909784,37.037266820811666,36.513355784717724,38.92150302675463,39.52965091973244,39.713048384232025,48.231309924174376,43.8004781841531,54.489445868540145,53.09825720833555,52.5561815302748,56.113618795658184,39.31021580517008,32.758051776118904,31.497036162195602,46.93398769377751
01171,44.75619545950368,43.431800185656485,43.246081341038796,42.037959142244794,40.8954250351767,42.39319702739675,41.7479270673496,40.82066664910941,35.658933886873626,36.46557537642659,45.16435348071765,34.424524900449256,33.39176983103245,32.767884523549796,31.933070948437788,44.503013593697695,47.66068280976375,51.80677347297289,112.98141278258058,132.00301894733434,137.42451916164205,134.19324757938531,130.0056742941805,125.3009425753097,119.78987581675992,107.60124151370795,100.19550599581495,95.56267822486399
01495,33.92046906470767,33.776227578176126,31.69437098381966,30.031524733409494,30.088056045058483,28.018061022712573,27.0648367534345,28.83983076782656,31.567814751322715,31.288488362409957,32.3124777865872,32.48282148484318,33.69509189225053,33.12055157306218,36.57316579885871,40.86066166364504,41.09725186390004,38.966678619231466,38.89288012369135,37.73824307794617,31.705702681583873,31.689364251190057,30.73409782038339,49.111487618750495,48.5826669796961,46.94552984745226,46.83153767726096,41.654664822019
01792,37.98279336719662,35.27577075846416,33.51722338823474,31.81800556652473,30.241329117699696,31.071233663650727,26.24891652760604,30.328223223102675,30.55349786781672,29.17606640814348,28.917640194016606,27.860052193848933,27.930122456968792,26.861997447351627,27.055364727608495,27.782192525257518,28.698415255182326,23.740577764518697,26.18233174126127,30.231540097585388,32.44331624233109,31.19417980692385,31.04853215462838,24.5908424248662,22.67819845033559,23.430213893275216,22.41287116999882,32.94097396922914
02305,81.60358294624102,72.90658115162849,72.29769497917208,71.22072855486495,69.89731635632928,73.57263018223658,77.0379240144158,77.69890864922681,81.73112628475675,85.42190711602524,94.3120025581161,87.26211754309205,93.0366720510041,101.06083248920291,108.26005375419824,87.67194235053498,88.09760953721988,91.82047833982685,88.51077030716587,86.92114009146522,93.8135259696546,159.45795793401476,161.22900516667,161.73208196577306,162.42261046086466,190.21844205912464,184.11383675740146,192.3325215301422
02602,54.143357689670715,53.45737371764291,58.27250103382374,57.20475330059527,56.787593688724364,48.39518861613635,48.83409913873941,49.991419779590665,50.730826576544594,87.18461874436429,85.28922985512818,84.59617378878843,84.60419083152348,87.331189304221,97.89010825086535,107.54579135455995,109.6490650865438,108.06542815270659,109.24776669629044,108.48655978981903,125.016524082972,137.71520812051045,141.55972111836962,144.9288385776084,143.76089849449264,138.29571084460517,135.80477293849543,160.94373959505955
02764,29.621909304635963,28.1018883485137,29.651034556759043,28.28480656506448,30.39990890589056,26.314270479993645,25.722079256005046,30.95548607600501,28.928666107609487,28.179595381574252,28.0175352962788,27.93344606649188,28.79350130463144,29.093604794269382,29.549158569320216,28.55185700681269,29.07312679421228,20.214402805296995,18.52651589734935,20.943910360206146,26.27595285684747,26.347660599864913,27.664188542908562,28.091917740984066,27.680904455179817,26.31036122306602,27.091271085055382,26.98586428308275
03358,15.364824019145006,15.779607244688966,20.25137197236634,18.817346593381796,16.99572985611698,16.356460103668827,16.21533412478047,17.67478093385585,16.19389600393208,16.23547411653202,16.560962207168195,13.730428262313346,10.321045747263815,10.47248583814911,17.557933009171318,18.695692096990072,23.436190686281968,23.20651187358648,28.02535124117347,25.94489538496622,18.08697894437331,18.680672268907564,22.500170100571964,22.347139537104837,22.87811604028078,31.59628371234016,29.876332074993755,23.38189991220369
03763,47.70767148327683,45.246255526482,43.1456579859392,46.04348246311132,37.397982086296224,42.65628811249014,38.18104208416833,21.836435453360384,24.439848830740306,27.158994008377004,28.831439899180378,15.120961635537608,42.118890450058764,42.95999653349511,42.203667805948065,40.95504192915849,41.817066976866116,42.681067426125715,83.44081848789972,78.2072246299144,67.31946481923823,71.23938622811349,72.53034390003832,92.02336160312777,92.81582991991647,74.51769277226786,70.71010621062106,84.4190605825215
