NTD ID,Agency Name,City,State,Primary UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00001,King County (KCM) - Metro Transit Department,Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.05332137734874035,0.23387597838049537,0.2588017509181388,0.23116301234453038,0.1765500910485464,0.1376882603745996,0.1581360050358991,0.1561755038553431,0.14881714441346477,0.13455447218679079,0.14193654446081927,0.15404985299761126,0.16019793304506053,0.14637979926943773,0.18754212364900275,0.18069705145323037,0.18874188439977402,0.19984264768832868,0.19753305225102338,0.19651860924915987,0.1920980208901369,0.18927950810975958,0.1936815712336924,0.1994363372002964,0.20333964280146963,0.19888374525225772,0.2090953987227516,0.1968356301477198,0.2099518869243986
00003,Pierce County Transportation Benefit Area Authority,Lakewood,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.17687641533098725,0.155147826492949,0.1593574299178499,0.17560999171522204,0.16173009561599747,0.17403321045727377,0.176613790006758,0.1942050664804587,0.22303578373700325,0.1723598370897003,0.1723112571966479,0.1685750033836344,0.18533809787115868,0.20175609414386947,0.2167482049120602,0.2020750125419537,0.2052257973855199,0.22349203136587556,0.22342690052142827,0.2238590031560169,0.219126201450385,0.2528235613495254,0.20663650176807524,0.2374569997758124,0.2542060230133435,0.24535588521573218,0.26618751842138233,0.24748771053389895,0.2572498243837563
00005,City of Everett (ET),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.11219998013426233,0.13138546735983833,0.17499834180210896,0.11677629162258042,0.1074704756139704,0.13515241657143842,0.1371299888912623,0.1522901500727965,0.1594576695042075,0.16974914756457812,0.16380537301482057,0.179524011844319,0.1828524864341624,0.16446156974160314,0.16580850177446071,0.32875155088618996,0.3049743433789641,0.27492607141017383,0.2914878937943202,0.2908780855305127,0.256513189282288,0.24537633529569317,0.2645637610054888,0.2618947300651678,0.25841557235254176,0.25103469672775236,0.26998736993417916,0.21034055503352386,0.21376896991581154
00023,City of Seattle (SMS),Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.02149045540907298,0.05965243527346091,0.06585840813657277,0.2779206749145143,0.44039710535324533,0.4153944882170487,0.44318863291150323,0.4751497828946768,0.3160983955383475,0.2854167702348571,0.18862980535639595,0.2963741281410571,0.2919814798912128,0.2866546776394768,0.33885676331987624,0.30124345672234043,0.39150136045415657,0.30939153607897774,0.2898541249572303,0.3158819806671476,0.2989225736307015,0.30201557415532065,0.28238654309512423,0.2820269462516516,0.5371789536366928,0.5270109021658871,0.46945487936819275,0.4656208206355004,0.4986167064550447
00028,County of Pierce,Tacoma,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.051689220590333734,0.03557783062939276,0.06819047333463274,0.060438223027789915,0.046237136028873825,0.19168476617136504,0.04681096724941415,0.08815376195688383,0.05854603144560318,0.044438411992201686,0.1758696169238777,0.2010525841990745,0.26972468249769505,0.1596100738721137,0.2742357240530015,0.2534497097159433,0.25089694947644225,0.1988467078267429,0.2229280721473573,0.18601118652804186,0.23872767315847201,0.17357209745818158,0.275366133162261,0.23152714056997103,0.15147239637323112,0.24983145723522035,0.17803021663962695,0.23441346726559786,0.23828059083255335
00029,Snohomish County Public Transportation Benefit Area Corporation (CT),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.18359040296256193,0.22070829700605302,0.20018131651706317,0.2282207656339725,0.2461012824774346,0.21366238992863365,0.20162350530590512,0.21866738121600834,0.22427143702742297,0.21024559367113393,0.1888520935989465,0.19159654873964668,0.22523156474443812,0.21736595745782794,0.21780590199488944,0.22737941052978422,0.22969224688057438,0.22692618105730167,0.2269739083240717,0.21838754517162473,0.22103465930358132,0.214763011208041,0.22992711181281064,0.22796747604742876,0.23405456572097721,0.2317590897718643,0.23218579134056008,0.22995940920347316,0.22938456229688653
00035,Washington State Ferries (WSF),Olympia,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,0.09806692555035113,0.08410928824438002,0.06534929773381774,0.06957847167560426,0.049651598586880126,0.052466251845917584,0.05033438748620881,0.04994608150329937,0.050818532039240694,0.047919412860127464,0.06647733629777615,0.13260497472166677,0.11674052480569662,0.12521294290460097,0.12147111819433179,0.11241763876795145,0.12025012783734637,0.11090788049368022,0.1211176180993806,0.07554277108218949,0.07378889350679388,0.06037531658573227,0.06831390544908317,0.06850437444847168,0.0749652320013734,0.0740460658569745,0.07184853477046163,0.08585585138898814,0.08770429778898013
00002,Spokane Transit Authority (STA),Spokane,WA,"Spokane, WA",83764,171.67,447279,0.08278250852488125,0.18474701397976775,0.19375598245042186,0.17505092505894365,0.20689899031239167,0.16462030141270698,0.16899260722593348,0.17180202627620117,0.16122152592434089,0.16915658261798358,0.15206802409179085,0.17956398401416343,0.1616497911380347,0.16370173854390996,0.197063226996398,0.1761682697287335,0.17585169599699862,0.1679197775311247,0.171834348252657,0.1662356677997508,0.17538609192923316,0.18021323886293011,0.19141895140917092,0.19689321356920678,0.1948275323235157,0.2027750966658037,0.21130364288988304,0.20018692368688473,0.21074163800532825
00006,City of Yakima (YT),Yakima,WA,"Yakima, WA",97507,55.77,133145,0.34387531870032734,0.3263872005291484,0.34332641655516255,0.19043183297380412,0.20164182150532722,0.2020580601016115,0.27054512092299726,0.25614634121257046,0.24313911297864116,0.2081511372119446,0.19463275671447608,0.21858677135059484,0.2158293898324951,0.22231946533965977,0.22286879806656099,0.21523300184437064,0.19996873297763257,0.16135572775826756,0.1637942467671607,0.15153350753378783,0.15487506362519007,0.15457088855568768,0.14082508240212235,0.14728258038607617,0.1550573653658228,0.19901505683280318,0.19059717662806003,0.2718734100279496,0.25973989353285376
00007,Lane Transit District (LTD),Eugene,OR,"Eugene, OR",28117,73.49,270179,0.2616054024436833,0.20757590086774041,0.18810081155671332,0.19244950841600628,0.20962320244832833,0.22285039099475148,0.22783764490942215,0.20298897823905873,0.2019416376298246,0.2000663602499385,0.19450873040770558,0.1843879807441021,0.17382884456361575,0.1556449197252026,0.17066365560786625,0.1724441341221774,0.18348732951772104,0.17174164154284485,0.17683403214205828,0.18873893784999707,0.19912363817046774,0.19655526477006707,0.2193950267821683,0.21253758073207168,0.20110232695894578,0.18806277071149408,0.21764896793634664,0.2504197410844919,0.24298979600796758
