NTD ID,Agency Name,City,State,Primary UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00001,King County (KCM) - Metro Transit Department,Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,126739318.0,209415714.0,225756985.0,233060871.0,237105927.0,254477941.0,275562311.0,296488917.0,326741070.0,332397744.0,347931769.0,370826287.0,388729229.0,405312470.0,401333346.0,431126653.0,460227820.0,499629139.0,498080675.0,513110170.0,528645842.0,561760119.0,578174058.0,588243184.0,591089442.0,625735838.0,686913987.0,729518390.0,797569050.0
00003,Pierce County Transportation Benefit Area Authority,Lakewood,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,33857363.0,35211618.0,37138237.0,41903356.0,42585970.0,42775623.0,46247374.0,50044405.0,55488531.0,52703850.0,56391011.0,62462422.0,68384947.0,75488208.0,65487878.0,71276774.0,80498452.0,91267084.0,89887529.0,92444055.0,90403858.0,78616142.0,69916142.0,75436816.0,78025429.0,86056497.0,91391757.0,89096222.0,91124828.0
00005,City of Everett (ET),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,4923049.0,5875216.0,7312155.0,7146031.0,6898704.0,7068982.0,6722636.0,7143200.0,7520949.0,7812322.0,8302713.0,10436058.0,10716994.0,11115460.0,12150734.0,13490674.0,15875824.0,16752991.0,17113661.0,18086598.0,18329845.0,18593260.0,18572778.0,19571020.0,19012670.0,19996439.0,21838366.0,22646560.0,22388937.0
00023,City of Seattle (SMS),Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,1272658.0,1383397.0,1373158.0,1484751.0,1469333.0,1542695.0,1599143.0,1971854.0,2143959.0,2252944.0,2366890.0,2167065.0,2084437.0,1485247.0,1711859.0,320558.0,2530405.0,2273249.0,2554378.0,2709895.0,2893562.0,3397295.0,3324390.0,3267319.0,4433355.0,4331066.0,4130627.0,4303884.0,4202651.0
00028,County of Pierce,Tacoma,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,763873.0,1257609.0,666970.0,920262.0,861126.0,1021667.0,1579758.0,1344832.0,1120093.0,1701906.0,1450495.0,2088384.0,1623689.0,2306283.0,2000848.0,2537170.0,2792242.0,4740516.0,4004471.0,4970443.0,3422674.0,4394295.0,3100443.0,4089892.0,6323535.0,4835568.0,3902287.0,6447040.0,6589752.0
00029,Snohomish County Public Transportation Benefit Area Corporation (CT),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,15545464.0,24982373.0,26390315.0,29444148.0,31991674.0,34559283.0,37124486.0,40241681.0,44345549.0,43654708.0,49134912.0,52504761.0,60934794.0,67578825.0,67339672.0,72267027.0,86509115.0,92395390.0,94274933.0,91702203.0,89339360.0,80782449.0,79897446.0,84183864.0,91985516.0,97378049.0,107484665.0,116088631.0,131526846.0
00035,Washington State Ferries (WSF),Olympia,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,92854313.0,96848733.0,107020033.0,113521292.0,113537714.0,117035290.0,123260743.0,128714642.0,136526238.0,142047379.0,158610582.0,162312719.0,159445754.0,158648160.0,170254002.0,188959048.0,208763329.0,233049968.0,220639197.0,208388543.0,224928837.0,231644599.0,229886930.0,236711555.0,236320045.0,242491006.0,241245546.0,264852944.0,270887660.0
00002,Spokane Transit Authority (STA),Spokane,WA,"Spokane, WA",83764,171.67,447279,19504084.0,24070500.0,25546597.0,26843857.0,29907072.0,30742964.0,32107298.0,32151984.0,33049712.0,32305642.0,33338659.0,35445627.0,35304178.0,35983503.0,41136036.0,45618425.0,48681572.0,55789557.0,53778823.0,56594503.0,55630922.0,56197636.0,57048296.0,59100168.0,60411436.0,59338978.0,63744282.0,67298052.0,70389246.0
00006,City of Yakima (YT),Yakima,WA,"Yakima, WA",97507,55.77,133145,3105582.0,3459143.0,3972948.0,4222188.0,4071819.0,4181219.0,3902070.0,4083771.0,4170452.0,4024052.0,4195897.0,4565107.0,4845948.0,5253728.0,5767133.0,6214586.0,6511653.0,7487816.0,7132894.0,7420570.0,7532394.0,7833105.0,7774375.0,7928643.0,8157884.0,7810806.0,8047753.0,8414063.0,8582178.0
00007,Lane Transit District (LTD),Eugene,OR,"Eugene, OR",28117,73.49,270179,10127417.0,11166012.0,12076790.0,12910815.0,14250703.0,15194961.0,16307687.0,17909933.0,19763111.0,21341089.0,22986269.0,24298010.0,24287724.0,25432266.0,27589852.0,29543481.0,32636090.0,35460701.0,37012751.0,41284809.0,41887493.0,44012207.0,44877061.0,47169451.0,51020797.0,52321153.0,58487284.0,57645060.0,59219960.0
